study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	0.0	hr		0.0					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	0.5	hr		9.08					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	1.0	hr		10.61					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	1.5	hr		11.9					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	2.0	hr		11.82					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	4.0	hr		8.21					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	8.0	hr		5.0					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	12.0	hr		2.11					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	15.0	hr		1.39					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	24.0	hr		0.68					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	36.0	hr		0.46					ng/ml	ng/ml
Bathala2012		all	6.0	ED60	concentration	edoxaban-M1	plasma	LC MS/MS	M1_ED60	48.0	hr		0.0					ng/ml	ng/ml
