study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	0.0	hr		0.0				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	0.5	hr		0.00041729160052403217				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	1.0	hr		0.0007152527652182799				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	1.5	hr		0.0006663528312696831				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	2.0	hr		0.0006176353597611932				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	2.5	hr		0.0005439205339580848				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	3.0	hr		0.0004995821610121557				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	3.5	hr		0.00043845724357640986				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	4.0	hr		0.0003857255983855724				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	4.5	hr		0.00034923311036423154				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	5.0	hr		0.0003211338945877991				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	6.0	hr		0.00026073882691248005				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	8.0	hr		0.00018957847527086553				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	12.0	hr		0.00011093716358487606				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	16.0	hr		7.845884924588274e-05				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	24.0	hr		4.6345459787102825e-05				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	36.0	hr		2.2990267453444708e-05				fasted		mole/meter^3	ng/ml
Ogata2010		all	9.0	ED120	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED120	48.0	hr		1.605669472938996e-05				fasted		mole/meter^3	ng/ml
