study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	0.0	hr		13.66						sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	0.5	hr		17.09	14.33	2.76				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	1.0	hr		19.85	17.09	2.76				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	1.5	hr		20.68	18.06	2.62				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	2.0	hr		20.45	18.14	2.31				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	3.0	hr		19.79	17.62	2.17				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	4.0	hr		18.74	17.03	1.71				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	6.0	hr		17.41	16.21	1.2				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	10.0	hr		15.48	14.73	0.75				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	14.0	hr		14.74	14.22	0.52				sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60_2	24.0	hr		13.95	13.51	0.44				sec	sec
