study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Matsushima2013	all	35.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	1766.0	NA	NA	NA	NA	435.3	NA	ng*hr/ml	NA
Matsushima2013	all	35.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1753.0	NA	NA	NA	NA	434.3	NA	ng*hr/ml	NA
Matsushima2013	all	35.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	10.4	NA	NA	NA	NA	3.22	NA	ng/ml	NA
Matsushima2013	all	35.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	256.0	NA	NA	NA	NA	87.7	NA	ng/ml	NA
Matsushima2013	all	35.0	ED60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.02	0.5	3.0	NA	NA	hr	NA
Matsushima2013	all	35.0	ED60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	11.5	NA	NA	NA	NA	5.63	NA	hr	NA
Matsushima2013	all	35.0	ED60	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	35.7	NA	NA	NA	NA	7.63	NA	l/hr	NA
Matsushima2013	all	35.0	ED60	vd	edoxaban	plasma	LC MS/MS	NA	NA	587.0	NA	NA	NA	NA	310.5	NA	l	NA
Matsushima2013	all	32.0	ED60	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	17.2	NA	NA	NA	NA	4.11	NA	mg	NA
Matsushima2013	all	32.0	ED60	recovery	edoxaban	urine	LC MS/MS	72.0	hr	28.6	NA	NA	NA	NA	6.85	NA	percent	NA
Matsushima2013	all	32.0	ED60	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	9.9	NA	NA	NA	NA	2.32	NA	L/hr	NA
Matsushima2013	all	35.0	ED30_IV	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	1317.0	NA	NA	NA	NA	189.4	NA	ng*hr/ml	NA
Matsushima2013	all	35.0	ED30_IV	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1313.0	NA	NA	NA	NA	187.9	NA	ng*hr/ml	NA
Matsushima2013	all	35.0	ED30_IV	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	3.5	NA	NA	NA	NA	0.98	NA	ng/ml	NA
Matsushima2013	all	35.0	ED30_IV	cmax	edoxaban	plasma	LC MS/MS	NA	NA	424.0	NA	NA	NA	NA	114.8	NA	ng/ml	NA
Matsushima2013	all	35.0	ED30_IV	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	0.48	0.25	1.98	NA	NA	hr	NA
Matsushima2013	all	35.0	ED30_IV	thalf	edoxaban	plasma	LC MS/MS	NA	NA	6.7	NA	NA	NA	NA	2.55	NA	hr	NA
Matsushima2013	all	35.0	ED30_IV	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	21.8	NA	NA	NA	NA	3.03	NA	l/hr	NA
Matsushima2013	all	35.0	ED30_IV	vd	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	l	NA
Matsushima2013	all	35.0	ED30_IV	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	13.7	NA	NA	NA	NA	2.73	NA	mg	NA
Matsushima2013	all	35.0	ED30_IV	recovery	edoxaban	urine	LC MS/MS	72.0	hr	48.6	NA	NA	NA	NA	9.66	NA	percent	NA
Matsushima2013	all	35.0	ED30_IV	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	10.7	NA	NA	NA	NA	3.0	NA	L/hr	NA
Matsushima2013	all	28.0	ED30_IV, Q300	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	1775.0	NA	NA	NA	NA	327.8	NA	ng*hr/ml	NA
Matsushima2013	all	28.0	ED30_IV, Q300	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1764.0	NA	NA	NA	NA	323.0	NA	ng*hr/ml	NA
Matsushima2013	all	28.0	ED30_IV, Q300	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	6.0	NA	NA	NA	NA	1.97	NA	ng/ml	NA
Matsushima2013	all	28.0	ED30_IV, Q300	cmax	edoxaban	plasma	LC MS/MS	NA	NA	456.0	NA	NA	NA	NA	132.5	NA	ng/ml	NA
Matsushima2013	all	28.0	ED30_IV, Q300	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	0.48	0.48	1.05	NA	NA	hr	NA
Matsushima2013	all	28.0	ED30_IV, Q300	thalf	edoxaban	plasma	LC MS/MS	NA	NA	11.3	NA	NA	NA	NA	7.82	NA	hr	NA
Matsushima2013	all	28.0	ED30_IV, Q300	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	16.3	NA	NA	NA	NA	2.63	NA	l/hr	NA
Matsushima2013	all	28.0	ED30_IV, Q300	vd	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	l	NA
Matsushima2013	all	29.0	ED30_IV, Q300	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	13.5	NA	NA	NA	NA	1.77	NA	mg	NA
Matsushima2013	all	29.0	ED30_IV, Q300	recovery	edoxaban	urine	LC MS/MS	72.0	hr	47.7	NA	NA	NA	NA	5.78	NA	percent	NA
Matsushima2013	all	29.0	ED30_IV, Q300	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	7.7	NA	NA	NA	NA	1.84	NA	L/hr	NA
