study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Mendell2015a	NA	all	32.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	0.0	hr	10.83	NA	NA	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	2.0	hr	13.04	13.98	0.9400000000000013	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	4.0	hr	12.35	13.0	0.6500000000000004	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	24.0	hr	11.15	11.59	0.4399999999999995	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	prothrombin time	NA	plasma	coagulation assay	PT_ED60, RIF	0.0	hr	10.85	NA	NA	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	prothrombin time	NA	plasma	coagulation assay	PT_ED60, RIF	2.0	hr	13.96	14.74	0.7799999999999994	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	prothrombin time	NA	plasma	coagulation assay	PT_ED60, RIF	4.0	hr	12.76	13.31	0.5500000000000007	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	prothrombin time	NA	plasma	coagulation assay	PT_ED60, RIF	24.0	hr	10.96	11.33	0.3699999999999992	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	0.0	hr	28.84	NA	NA	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	2.0	hr	37.64	42.56	4.920000000000002	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	4.0	hr	35.46	39.76	4.299999999999997	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	24.0	hr	30.32	32.69	2.3699999999999974	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	aPTT	NA	plasma	coagulation assay	aPTT_ED60, RIF	0.0	hr	29.1	NA	NA	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	aPTT	NA	plasma	coagulation assay	aPTT_ED60, RIF	2.0	hr	39.4	45.2	5.800000000000004	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	aPTT	NA	plasma	coagulation assay	aPTT_ED60, RIF	4.0	hr	35.98	39.85	3.8700000000000045	NA	sec	NA
Mendell2015a	NA	all	32.0	ED60, RIF	aPTT	NA	plasma	coagulation assay	aPTT_ED60, RIF	24.0	hr	29.27	31.2	1.9299999999999997	NA	sec	NA
