study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	0.5	hr	NA	100.88	175.44	74.56	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	1.0	hr	NA	210.53	328.95	118.42	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	1.5	hr	NA	223.68	302.63	78.95	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	2.0	hr	NA	214.91	258.77	43.86	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	2.5	hr	NA	175.44	241.23	65.79	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	3.0	hr	NA	149.12	197.37	48.25	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	3.5	hr	NA	100.88	131.58	30.7	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	5.0	hr	NA	65.79	70.18	4.39	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	6.0	hr	NA	39.74	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	8.0	hr	NA	13.25	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	12.0	hr	NA	4.97	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	16.0	hr	NA	3.31	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	24.0	hr	NA	3.31	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	36.0	hr	NA	1.66	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	48.0	hr	NA	1.2	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	60.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60_edo_cyc	72.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	0.5	hr	NA	61.4	144.74	83.34	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	1.0	hr	NA	214.91	298.25	83.34	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	1.5	hr	NA	276.32	399.12	122.8	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	2.0	hr	NA	337.72	425.44	87.72	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	2.5	hr	NA	377.19	464.91	87.72	NA	ng/ml	NA
Parasrampuria2016	NA	edo_cyc	31.0	ED60, CYC	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60, CYC_edo_cyc	3.0	hr	NA	333.33	416.67	83.34	NA	ng/ml	NA
