study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Parasrampuria2016b	all	24	NA	species	24	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	healthy	24	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	medication	24	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	overnight fast	24	NA	Y	NA	NA	NA	NA	NA	NA	NA	only rivoraxaban with breakfast
Parasrampuria2016b	all	24	NA	sex	14	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	sex	10	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	ethnicity	13	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	ethnicity	14	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	ethnicity	4	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	ethnicity	5	NA	african american	NA	NA	NA	NA	NA	NA	NA	NA
Parasrampuria2016b	all	24	NA	age	24	NA	NA	30.8	NA	8.1	NA	NA	NA	yr	NA
Parasrampuria2016b	all	24	NA	height	24	NA	NA	168.1	NA	8.9	NA	NA	NA	cm	NA
Parasrampuria2016b	all	24	NA	weight	24	NA	NA	74.1	NA	12.4	NA	NA	NA	kg	NA
Parasrampuria2016b	all	24	NA	bmi	24	NA	NA	26.1	NA	2.7	NA	NA	NA	kg/m^2	NA
